序号,时间s,累计体积ml,单个体积(每5s),平均单个体积(每5s),实际通量,,膜孔径
0,0,0.21,0,0,0.051449271,,0.99
1,5,0.65,0.44,0.44,0.022866343,,
2,10,1.55,0.9,0.9,0.046772065,,
3,15,2.43,0.88,0.804,0.041783045,,
4,20,3.34,0.91,0.894,0.046460251,,
5,25,4.23,0.89,0.894,0.046460251,,
6,30,5.12,0.89,0.898,0.046668127,,
7,35,6.02,0.9,0.894,0.046460251,,
8,40,6.92,0.9,0.892,0.046356313,,
9,45,7.81,0.89,0.896,0.046564189,,
10,50,8.69,0.88,0.89,0.046252375,,
11,55,9.6,0.91,0.888,0.046148437,,
12,60,10.47,0.87,0.88,0.045732686,,
13,65,11.36,0.89,0.884,0.045940562,,
14,70,12.21,0.85,0.872,0.045316934,,
15,75,13.11,0.9,0.872,0.045316934,,
16,80,13.96,0.85,0.87,0.045212996,,
17,85,14.83,0.87,0.874,0.045420872,,
18,90,15.71,0.88,0.866,0.04500512,,
19,95,16.58,0.87,0.872,0.045316934,,
20,100,17.44,0.86,0.868,0.045109058,,
21,105,18.32,0.88,0.862,0.044797244,,
22,110,19.17,0.85,0.86,0.044693306,,
23,115,20.02,0.85,0.86,0.044693306,,
24,120,20.88,0.86,0.856,0.044485431,,
25,125,21.74,0.86,0.858,0.044589369,,
26,130,22.6,0.86,0.856,0.044485431,,
27,135,23.46,0.86,0.852,0.044277555,,
28,140,24.3,0.84,0.854,0.044381493,,
29,145,25.14,0.84,0.848,0.044069679,,
30,150,26.01,0.87,0.846,0.043965741,,
31,155,26.84,0.83,0.846,0.043965741,,
32,160,27.69,0.85,0.846,0.043965741,,
33,165,28.53,0.84,0.84,0.043653927,,
34,170,29.37,0.84,0.844,0.043861803,,
35,175,30.21,0.84,0.842,0.043757865,,
36,180,31.06,0.85,0.842,0.043757865,,
37,185,31.9,0.84,0.838,0.043549989,,
38,190,32.74,0.84,0.836,0.043446051,,
39,195,33.56,0.82,0.834,0.043342113,,
40,200,34.39,0.83,0.832,0.043238176,,
41,205,35.23,0.84,0.83,0.043134238,,
42,210,36.06,0.83,0.832,0.043238176,,
43,215,36.89,0.83,0.83,0.043134238,,
44,220,37.72,0.83,0.828,0.0430303,,
45,225,38.54,0.82,0.826,0.042926362,,
46,230,39.37,0.83,0.82,0.042614548,,
47,235,40.19,0.82,0.82,0.042614548,,
48,240,40.99,0.8,0.82,0.042614548,,
49,245,41.82,0.83,0.818,0.04251061,,
50,250,42.64,0.82,0.818,0.04251061,,
51,255,43.46,0.82,0.82,0.042614548,,
52,260,44.28,0.82,0.818,0.04251061,,
53,265,45.09,0.81,0.816,0.042406672,,
54,270,45.91,0.82,0.814,0.042302734,,
55,275,46.72,0.81,0.812,0.042198796,,
56,280,47.53,0.81,0.81,0.042094858,,
57,285,48.34,0.81,0.808,0.04199092,,
58,290,49.14,0.8,0.804,0.041783045,,
59,295,49.95,0.81,0.802,0.041679107,,
60,300,50.74,0.79,0.802,0.041679107,,
61,305,51.54,0.8,0.804,0.041783045,,
62,310,52.35,0.81,0.802,0.041679107,,
63,315,53.16,0.81,0.808,0.04199092,,
64,320,53.96,0.8,0.81,0.042094858,,
65,325,54.78,0.82,0.808,0.04199092,,
