序号,时间s,累计体积ml,单个体积(每5s),平均单个体积(每5s),实际通量,,膜孔径
0,0,0.08,0,0,0.062362753,,1.2
1,5,0.63,0.55,0.55,0.028582929,,
2,10,1.78,1.15,1.15,0.059764305,,
3,15,2.88,1.1,0.976,0.050721706,,
4,20,3.92,1.04,1.072,0.055710726,,
5,25,4.96,1.04,1.044,0.054255595,,
6,30,5.99,1.03,1.02,0.05300834,,
7,35,7,1.01,1.006,0.052280775,,
8,40,7.98,0.98,0.992,0.051553209,,
9,45,8.95,0.97,0.972,0.05051383,,
10,50,9.92,0.97,0.96,0.049890203,,
11,55,10.85,0.93,0.952,0.049474451,,
12,60,11.8,0.95,0.942,0.048954761,,
13,65,12.74,0.94,0.926,0.048123258,,
14,70,13.66,0.92,0.922,0.047915382,,
15,75,14.55,0.89,0.912,0.047395692,,
16,80,15.46,0.91,0.9,0.046772065,,
17,85,16.36,0.9,0.892,0.046356313,,
18,90,17.24,0.88,0.888,0.046148437,,
19,95,18.12,0.88,0.884,0.045940562,,
20,100,18.99,0.87,0.872,0.045316934,,
21,105,19.88,0.89,0.87,0.045212996,,
22,110,20.72,0.84,0.864,0.044901182,,
23,115,21.59,0.87,0.858,0.044589369,,
24,120,22.44,0.85,0.85,0.044173617,,
25,125,23.28,0.84,0.85,0.044173617,,
26,130,24.13,0.85,0.844,0.043861803,,
27,135,24.97,0.84,0.836,0.043446051,,
28,140,25.81,0.84,0.836,0.043446051,,
29,145,26.62,0.81,0.83,0.043134238,,
30,150,27.46,0.84,0.824,0.042822424,,
31,155,28.28,0.82,0.82,0.042614548,,
32,160,29.09,0.81,0.82,0.042614548,,
33,165,29.91,0.82,0.816,0.042406672,,
34,170,30.72,0.81,0.808,0.04199092,,
35,175,31.54,0.82,0.806,0.041886983,,
36,180,32.32,0.78,0.802,0.041679107,,
37,185,33.12,0.8,0.796,0.041367293,,
38,190,33.92,0.8,0.79,0.041055479,,
39,195,34.7,0.78,0.794,0.041263355,,
40,200,35.49,0.79,0.79,0.041055479,,
41,205,36.29,0.8,0.782,0.040639728,,
42,210,37.07,0.78,0.782,0.040639728,,
43,215,37.83,0.76,0.782,0.040639728,,
44,220,38.61,0.78,0.774,0.040223976,,
45,225,39.4,0.79,0.772,0.040120038,,
46,230,40.16,0.76,0.772,0.040120038,,
47,235,40.93,0.77,0.772,0.040120038,,
48,240,41.69,0.76,0.762,0.039600348,,
49,245,42.47,0.78,0.764,0.039704286,,
50,250,43.21,0.74,0.762,0.039600348,,
51,255,43.98,0.77,0.758,0.039392472,,
52,260,44.74,0.76,0.754,0.039184597,,
53,265,45.48,0.74,0.756,0.039288535,,
54,270,46.24,0.76,0.752,0.039080659,,
55,275,46.99,0.75,0.746,0.038768845,,
56,280,47.74,0.75,0.748,0.038872783,,
57,285,48.47,0.73,0.744,0.038664907,,
58,290,49.22,0.75,0.74,0.038457031,,
59,295,49.96,0.74,0.738,0.038353093,,
60,300,50.69,0.73,0.74,0.038457031,,
61,305,51.43,0.74,0.738,0.038353093,,
62,310,52.17,0.74,0.732,0.038041279,,
63,315,52.91,0.74,0.732,0.038041279,,
64,320,53.62,0.71,0.732,0.038041279,,
65,325,54.35,0.73,0.726,0.037729466,,
66,330,55.09,0.74,0.722,0.03752159,,
67,335,55.8,0.71,0.724,0.037625528,,
68,340,56.52,0.72,0.724,0.037625528,,
69,345,57.24,0.72,0.716,0.037209776,,
70,350,57.97,0.73,0.718,0.037313714,,
71,355,58.67,0.7,0.72,0.037417652,,
72,360,59.39,0.72,0.714,0.037105838,,
73,365,60.12,0.73,0.71,0.036897962,,
74,370,60.81,0.69,0.714,0.037105838,,
75,375,61.52,0.71,0.712,0.0370019,,
76,380,62.24,0.72,0.704,0.036586149,,
77,385,62.95,0.71,0.708,0.036794024,,
78,390,63.64,0.69,0.706,0.036690086,,
79,395,64.35,0.71,0.704,0.036586149,,
80,400,65.05,0.7,0.7,0.036378273,,
81,405,65.76,0.71,0.702,0.036482211,,
82,410,66.45,0.69,0.7,0.036378273,,
83,415,67.15,0.7,0.696,0.036170397,,
84,420,67.85,0.7,0.694,0.036066459,,
85,425,68.53,0.68,0.696,0.036170397,,
86,430,69.23,0.7,0.694,0.036066459,,
87,435,69.93,0.7,0.69,0.035858583,,
88,440,70.62,0.69,0.692,0.035962521,,
89,445,71.3,0.68,0.69,0.035858583,,
90,450,71.99,0.69,0.684,0.035546769,,
91,455,72.68,0.69,0.682,0.035442831,,
