序号,时间s,累计体积ml,单个体积(每5s),平均单个体积(每5s),实际通量,,膜孔径,,,
0,0,0,0,0,0.032740445,,0.63,,,
1,5,0.21,0.21,0.21,0.010913482,,,,,
2,10,0.79,0.58,0.58,0.030141997,,,,,
3,15,1.4,0.61,0.534,0.027751425,,,,,
4,20,2.04,0.64,0.618,0.032116818,,,,,
5,25,2.67,0.63,0.628,0.032636508,,,,,
6,30,3.3,0.63,0.634,0.032948321,,,,,
7,35,3.93,0.63,0.632,0.032844383,,,,,
8,40,4.57,0.64,0.634,0.032948321,,,,,
9,45,5.2,0.63,0.63,0.032740445,,,,,
10,50,5.84,0.64,0.628,0.032636508,,,,,
11,55,6.45,0.61,0.626,0.03253257,,,,,
12,60,7.07,0.62,0.62,0.032220756,,,,,
13,65,7.7,0.63,0.618,0.032116818,,,,,
14,70,8.3,0.6,0.616,0.03201288,,,,,
15,75,8.93,0.63,0.614,0.031908942,,,,,
16,80,9.53,0.6,0.612,0.031805004,,,,,
17,85,10.14,0.61,0.612,0.031805004,,,,,
18,90,10.76,0.62,0.608,0.031597128,,,,,
19,95,11.36,0.6,0.612,0.031805004,,,,,
20,100,11.97,0.61,0.61,0.031701066,,,,,
21,105,12.59,0.62,0.6,0.031181377,,,,,
22,110,13.19,0.6,0.6,0.031181377,,,,,
23,115,13.76,0.57,0.596,0.030973501,,,,,
24,120,14.36,0.6,0.592,0.030765625,,,,,
25,125,14.95,0.59,0.59,0.030661687,,,,,
26,130,15.55,0.6,0.594,0.030869563,,,,,
27,135,16.14,0.59,0.594,0.030869563,,,,,
28,140,16.73,0.59,0.592,0.030765625,,,,,
29,145,17.33,0.6,0.59,0.030661687,,,,,
30,150,17.91,0.58,0.59,0.030661687,,,,,
31,155,18.5,0.59,0.588,0.030557749,,,,,
32,160,19.09,0.59,0.582,0.030245935,,,,,
33,165,19.67,0.58,0.582,0.030245935,,,,,
34,170,20.24,0.57,0.578,0.030038059,,,,,
35,175,20.82,0.58,0.576,0.029934122,,,,,
36,180,21.39,0.57,0.574,0.029830184,,,,,
37,185,21.97,0.58,0.574,0.029830184,,,,,
38,190,22.54,0.57,0.572,0.029726246,,,,,
39,195,23.11,0.57,0.572,0.029726246,,,,,
40,200,23.68,0.57,0.568,0.02951837,,,,,
41,205,24.25,0.57,0.568,0.02951837,,,,,
42,210,24.81,0.56,0.568,0.02951837,,,,,
43,215,25.38,0.57,0.564,0.029310494,,,,,
44,220,25.95,0.57,0.562,0.029206556,,,,,
45,225,26.5,0.55,0.562,0.029206556,,,,,
46,230,27.06,0.56,0.558,0.02899868,,,,,
47,235,27.62,0.56,0.558,0.02899868,,,,,
48,240,28.17,0.55,0.556,0.028894742,,,,,
49,245,28.74,0.57,0.558,0.02899868,,,,,
50,250,29.28,0.54,0.556,0.028894742,,,,,
51,255,29.85,0.57,0.55,0.028582929,,,,,
52,260,30.4,0.55,0.548,0.028478991,,,,,
53,265,30.92,0.52,0.548,0.028478991,,,,,
54,270,31.48,0.56,0.546,0.028375053,,,,,
55,275,32.02,0.54,0.544,0.028271115,,,,,
56,280,32.58,0.56,0.55,0.028582929,,,,,
57,285,33.12,0.54,0.546,0.028375053,,,,,
58,290,33.67,0.55,0.548,0.028478991,,,,,
59,295,34.21,0.54,0.544,0.028271115,,,,,
60,300,34.76,0.55,0.544,0.028271115,,,,,
61,305,35.3,0.54,0.54,0.028063239,,,,,
62,310,35.84,0.54,0.542,0.028167177,,,,,
63,315,36.37,0.53,0.532,0.027647487,,,,,
64,320,36.92,0.55,0.536,0.027855363,,,,,
65,325,37.42,0.5,0.534,0.027751425,,,,,
66,330,37.98,0.56,0.536,0.027855363,,,,,
67,335,38.51,0.53,0.53,0.027543549,,,,,
68,340,39.05,0.54,0.536,0.027855363,,,,,
69,345,39.57,0.52,0.53,0.027543549,,,,,
70,350,40.1,0.53,0.528,0.027439611,,,,,
71,355,40.63,0.53,0.524,0.027231736,,,,,
72,360,41.15,0.52,0.526,0.027335673,,,,,
73,365,41.67,0.52,0.524,0.027231736,,,,,
74,370,42.2,0.53,0.522,0.027127798,,,,,
75,375,42.72,0.52,0.524,0.027231736,,,,,
76,380,43.24,0.52,0.526,0.027335673,,,,,
77,385,43.77,0.53,0.524,0.027231736,,,,,
78,390,44.3,0.53,0.524,0.027231736,,,,,
79,395,44.82,0.52,0.522,0.027127798,,,,,
